Cloudbuddy;Observer;Age_in_days;Volume;Weight;Phase (color)
cbID-006;raID-01;47;4,048987118;20,03759219;4-orange
cbID-006;raID-01;55;3,051945407;12,19550871;4-orange
cbID-006;raID-01;63;3,931271055;19,7707422;5-orangered
cbID-006;raID-01;72;3,260101379;19,90152117;5-orangered
cbID-006;raID-01;81;1,26468313;1,332906432;6-red
cbID-006;raID-01;91;0,090934358;0,192638182;6-red
cbID-007;raID-01;1;0,049689832;0,069591299;1-lightgray
cbID-007;raID-01;20;8,442176096;39,75676902;2-darkgray
cbID-007;raID-01;36;6,748819758;27,47990581;3-darkorange
cbID-007;raID-01;54;3,34752758;18,6154349;4-orange
cbID-007;raID-01;74;2,883798003;15,92682462;5-orangered
cbID-007;raID-01;91;0,077633352;0,233343659;6-red
cbID-008;raID-01;1;0,103794854;0,031546727;1-lightgray
cbID-008;raID-01;9;3,331231014;7,800654404;1-lightgray
cbID-008;raID-01;18;7,894402583;37,5382992;2-darkgray
cbID-008;raID-01;24;8,752464574;41,01670201;2-darkgray
cbID-008;raID-01;34;5,989187997;22,13017215;3-darkorange
cbID-008;raID-01;40;4,23512744;11,66154455;3-darkorange
cbID-008;raID-01;48;3,840899214;14,51846103;4-orange
cbID-008;raID-01;58;3,356367342;14,1275163;4-orange
cbID-008;raID-01;65;3,553044217;13,77191271;5-orangered
cbID-008;raID-01;74;2,640773355;17,25219599;5-orangered
cbID-008;raID-01;81;1,226842233;1,956083445;6-red
cbID-008;raID-01;91;0,079863331;1,149712036;6-red
cbID-009;raID-01;1;0,100755444;0,095310262;1-lightgray
cbID-009;raID-01;12;3,374506644;7,760028339;1-lightgray
cbID-009;raID-01;23;7,963715443;36,70933754;2-darkgray
cbID-009;raID-01;34;6,452057704;24,70819355;3-darkorange
cbID-009;raID-01;44;3,839071321;11,65673053;3-darkorange
cbID-009;raID-01;56;2,721727744;11,21187627;4-orange
cbID-009;raID-01;68;3,425584584;17,24563696;5-orangered
cbID-009;raID-01;80;1,083440264;7,175746933;5-orangered
cbID-009;raID-01;90;0,100755444;1,372967178;6-red
cbID-010;raID-01;1;0,105804908;0,04725285;1-lightgray
cbID-010;raID-01;7;1,185492604;1,241863774;1-lightgray
cbID-010;raID-01;13;4,08716159;10,96134798;1-lightgray
cbID-010;raID-01;20;8,029573215;39,4231953;2-darkgray
cbID-010;raID-01;26;9,300606014;48,80232888;2-darkgray
cbID-010;raID-01;30;9,189610596;43,37358852;3-darkorange
cbID-010;raID-01;40;5,135914723;16,36527989;3-darkorange
cbID-010;raID-01;46;3,100707563;9,148858435;3-darkorange
cbID-010;raID-01;50;2,992685198;9,386737022;4-orange
cbID-010;raID-01;58;2,911663669;6,764346099;4-orange
cbID-010;raID-01;63;2,708764578;11,87234476;5-orangered
cbID-010;raID-01;72;2,534247023;14,62330466;5-orangered
cbID-010;raID-01;76;2,302565201;17,12631616;5-orangered
cbID-010;raID-01;84;0,477951808;0,775138571;6-red
cbID-010;raID-01;91;0,105804908;0,881349992;6-red
cbID-011;raID-01;1;0,106107702;0,071851412;1-lightgray
cbID-011;raID-01;13;5,586872029;19,81622669;2-darkgray
cbID-011;raID-01;22;9,21078506;47,13998298;2-darkgray
cbID-011;raID-01;31;8,894116622;43,46388328;3-darkorange
cbID-011;raID-01;41;5,092561787;18,53206661;3-darkorange
cbID-011;raID-01;50;3,724292118;15,16053809;4-orange
cbID-011;raID-01;63;3,339405989;16,08763662;5-orangered
cbID-011;raID-01;71;3,499119758;15,20142639;5-orangered
cbID-011;raID-01;77;2,014206557;13,87741947;5-orangered
cbID-011;raID-01;90;0,028162568;0,468270742;6-red
cbID-012;raID-01;1;0,108698865;0,121788775;1-lightgray
cbID-012;raID-01;12;5,516915679;19,33277537;2-darkgray
cbID-012;raID-01;26;9,944549804;52,93027556;2-darkgray
cbID-012;raID-01;39;6,203116644;22,64372831;3-darkorange
cbID-012;raID-01;50;4,86153829;-99;4-orange
cbID-012;raID-01;64;4,473753796;24,00538164;4-orange
cbID-012;raID-01;77;2,325527087;17,40310993;5-orangered
cbID-012;raID-01;88;0,087181024;0,26345417;6-red
cbID-013;raID-01;1;0,055502304;0,191534666;1-lightgray
cbID-013;raID-01;15;6,966855119;31,27828021;2-darkgray
cbID-013;raID-01;26;9,813612743;48,4119309;2-darkgray
cbID-013;raID-01;39;6,239103314;25,21519546;3-darkorange
cbID-013;raID-01;53;4,934593929;21,9662639;4-orange
cbID-013;raID-01;64;4,622708017;23,74445604;4-orange
cbID-013;raID-01;75;3,721967017;24,5492154;5-orangered
cbID-013;raID-01;91;0,073571214;0,124346108;6-red
cbID-014;raID-01;1;0,033586456;0,030273395;1-lightgray
cbID-014;raID-01;8;2,338753782;4,070501421;1-lightgray
cbID-014;raID-01;14;5,299206126;20,24976479;2-darkgray
cbID-014;raID-01;22;8,575587863;41,76296633;2-darkgray
cbID-014;raID-01;28;8,776329473;44,36492968;2-darkgray
cbID-014;raID-01;36;5,286623852;19,194801;3-darkorange
cbID-014;raID-01;42;2,17534758;3,678431665;3-darkorange
cbID-014;raID-01;49;1,484585127;9,444152364;4-orange
cbID-014;raID-01;56;1,145550831;8,914613938;4-orange
cbID-014;raID-01;62;2,537582613;16,92777143;5-orangered
cbID-014;raID-01;70;2,240383472;15,74898211;5-orangered
cbID-014;raID-01;76;1,467490508;15,26098413;5-orangered
cbID-014;raID-01;83;0,094810635;0,822954009;6-red
cbID-014;raID-01;88;0,094810635;0,714906455;6-red
cbID-015;raID-01;1;0,138268986;0,219647083;1-lightgray
cbID-015;raID-01;6;2,23716474;4,065067036;1-lightgray
cbID-015;raID-01;12;5,666350828;19,0527904;2-darkgray
cbID-015;raID-01;16;7,192037016;31,21970533;2-darkgray
cbID-015;raID-01;20;8,426095339;44,25598731;2-darkgray
cbID-015;raID-01;24;-99;45,32593089;2-darkgray
cbID-015;raID-01;31;7,979105479;36,89688109;2-darkgray
cbID-015;raID-01;34;7,281463093;30,89001676;3-darkorange
cbID-015;raID-01;40;5,149374953;17,87998225;3-darkorange
cbID-015;raID-01;47;3,97182464;16,92238043;4-orange
cbID-015;raID-01;52;3,731113767;13,47634306;4-orange
cbID-015;raID-01;55;4,525254556;20,19563297;4-orange
cbID-015;raID-01;62;4,458140895;21,59256744;5-orangered
cbID-015;raID-01;65;4,288451792;16,70971142;5-orangered
cbID-015;raID-01;69;5,249795236;26,3888192;5-orangered
cbID-015;raID-01;76;3,715330799;23,13681722;5-orangered
cbID-015;raID-01;78;2,381033002;5,271519899;6-red
cbID-015;raID-01;85;0,576818455;1,245722188;6-red
cbID-015;raID-01;91;0,057798567;0,458153609;6-red
cbID-016;raID-01;1;0,019483037;0,116506151;1-lightgray
cbID-016;raID-01;11;4,598554277;13,38963879;1-lightgray
cbID-016;raID-01;20;8,756310655;43,04638683;2-darkgray
cbID-016;raID-01;30;8,892186641;44,2662153;3-darkorange
cbID-016;raID-01;39;6,11975532;21,77381034;3-darkorange
cbID-016;raID-01;51;4,614537381;18,54047338;4-orange
cbID-016;raID-01;62;4,159317115;24,20811587;5-orangered
cbID-016;raID-01;71;4,139092758;18,1114788;5-orangered
cbID-016;raID-01;78;1,471278893;12,42248922;5-orangered
cbID-016;raID-01;90;0,091991512;0,775031022;6-red
cbID-017;raID-02;1;0,111548217;0,002249693;1-lightgray
cbID-017;raID-02;9;2,969826033;6,560415173;1-lightgray
cbID-017;raID-02;18;8,276647749;40,75303913;2-darkgray
cbID-017;raID-02;26;9,768936126;50,24467738;2-darkgray
cbID-017;raID-02;34;5,975672808;22,25161665;3-darkorange
cbID-017;raID-02;42;3,967024933;12,75543827;3-darkorange
cbID-017;raID-02;48;4,497460274;19,49635566;4-orange
cbID-017;raID-02;58;4,463900528;23,23074933;4-orange
cbID-017;raID-02;62;4,86898873;18,64656964;4-orange
cbID-017;raID-02;72;3,483737566;18,23624508;5-orangered
cbID-017;raID-02;82;0,441427647;0,259834521;6-red
cbID-017;raID-02;91;0,111548217;0,417657237;6-red
cbID-018;raID-02;1;0,09595577;0,13765342;1-lightgray
cbID-018;raID-02;12;4,028109471;13,2801246;2-darkgray
cbID-018;raID-02;21;7,468256998;31,39886169;2-darkgray
cbID-018;raID-02;30;7,538098561;29,592001;2-darkgray
cbID-018;raID-02;41;3,250901429;7,817019584;3-darkorange
cbID-018;raID-02;50;2,990920224;20,33283502;4-orange
cbID-018;raID-02;61;2,877053657;11,73793513;4-orange
cbID-018;raID-02;70;2,559877154;12,18269832;5-orangered
cbID-018;raID-02;80;2,343366206;17,95441831;5-orangered
cbID-018;raID-02;89;0,133145555;0,103294827;6-red
cbID-019;raID-02;1;0,106048663;0,01291244;1-lightgray
cbID-019;raID-02;9;2,779248004;5,69491702;1-lightgray
cbID-019;raID-02;17;7,701858438;35,32383522;2-darkgray
cbID-019;raID-02;26;9,441904708;49,23581922;2-darkgray
cbID-019;raID-02;33;7,089335868;31,67125191;3-darkorange
cbID-019;raID-02;42;5,310156693;18,0620839;3-darkorange
cbID-019;raID-02;49;3,556018174;16,80336965;4-orange
cbID-019;raID-02;57;3,729355545;18,14679798;4-orange
cbID-019;raID-02;64;4,152390212;20,97821435;4-orange
cbID-019;raID-02;72;3,703795666;17,60079134;5-orangered
cbID-019;raID-02;79;1,855291519;2,640877361;6-red
cbID-019;raID-02;89;0,106048663;0,344307415;6-red
cbID-020;raID-02;1;0,108384022;0,200233285;1-lightgray
cbID-020;raID-02;8;2,729088092;5,428236169;1-lightgray
cbID-020;raID-02;14;5,400152422;17,52199488;1-lightgray
cbID-020;raID-02;20;7,888919378;37,05529267;2-darkgray
cbID-020;raID-02;25;9,001379763;45,06039364;2-darkgray
cbID-020;raID-02;34;7,290725614;32,95689112;3-darkorange
cbID-020;raID-02;40;5,797531912;19,87350379;3-darkorange
cbID-020;raID-02;44;4,24302061;13,14911502;3-darkorange
cbID-020;raID-02;52;4,188427012;19,33724143;4-orange
cbID-020;raID-02;56;3,606973696;17,07071855;4-orange
cbID-020;raID-02;65;4,991482786;23,15803305;5-orangered
cbID-020;raID-02;71;3,23807121;20,56997144;5-orangered
cbID-020;raID-02;78;2,320048902;11,75467313;5-orangered
cbID-020;raID-02;84;0,420425115;-99;6-red
cbID-020;raID-02;91;0,021535266;0,070283185;6-red
cbID-021;raID-02;1;0,177145096;0,080000647;1-lightgray
cbID-021;raID-02;11;4,924839831;14,98758504;1-lightgray
cbID-021;raID-02;24;10,14140249;53,0855193;2-darkgray
cbID-021;raID-02;33;7,372806177;31,13065279;3-darkorange
cbID-021;raID-02;46;3,677214261;10,87851095;3-darkorange
cbID-021;raID-02;58;3,678591026;15,35393129;4-orange
cbID-021;raID-02;66;4,275358234;19,30991752;5-orangered
cbID-021;raID-02;78;2,381253189;16,4908072;5-orangered
cbID-021;raID-02;89;0,08830287;0,610477742;6-red
cbID-022;raID-02;1;0,095789521;0,077977256;1-lightgray
cbID-022;raID-02;13;4,311238276;15,6058132;2-darkgray
cbID-022;raID-02;22;7,616296265;32,13660298;2-darkgray
cbID-022;raID-02;35;5,380413051;19,71454599;3-darkorange
cbID-022;raID-02;45;3,341427889;6,418364915;3-darkorange
cbID-022;raID-02;54;2,507379271;9,937189662;4-orange
cbID-022;raID-02;68;2,609282337;17,89452312;5-orangered
cbID-022;raID-02;80;1,41863206;12,02784522;5-orangered
cbID-022;raID-02;90;0,095789521;0,294756049;6-red
cbID-023;raID-02;1;0,102854507;0,09417368;1-lightgray
cbID-023;raID-02;8;2,223791276;3,936179068;1-lightgray
cbID-023;raID-02;12;4,497925745;16,79378566;2-darkgray
cbID-023;raID-02;18;7,712162084;34,16347659;2-darkgray
cbID-023;raID-02;25;9,628585742;46,81690079;2-darkgray
cbID-023;raID-02;32;7,751467986;35,10767858;3-darkorange
cbID-023;raID-02;37;5,988602552;20,55714508;3-darkorange
cbID-023;raID-02;42;4,411639418;17,41662204;3-darkorange
cbID-023;raID-02;49;2,685008304;9,971664074;4-orange
cbID-023;raID-02;54;1,676466654;9,271886463;4-orange
cbID-023;raID-02;58;-99;11,96383467;4-orange
cbID-023;raID-02;65;2,523187076;24,78122415;5-orangered
cbID-023;raID-02;72;2,241700272;13,73405531;5-orangered
cbID-023;raID-02;76;2,494677663;14,16981317;5-orangered
cbID-023;raID-02;84;0,102854507;0,009229774;6-red
cbID-023;raID-02;91;0,102854507;0,831632057;6-red
cbID-024;raID-02;1;0,055662058;0,135147846;1-lightgray
cbID-024;raID-02;12;5,551868517;23,60400239;2-darkgray
cbID-024;raID-02;28;10,75114525;60,56264533;2-darkgray
cbID-024;raID-02;39;6,670638936;27,21103739;3-darkorange
cbID-024;raID-02;53;5,037855012;25,77486755;4-orange
cbID-024;raID-02;65;4,435479166;24,55258706;5-orangered
cbID-024;raID-02;77;2,386692472;5,058476605;6-red
cbID-024;raID-02;89;0,087400808;0,209603787;6-red
cbID-025;raID-02;1;0,09575362;0,039637569;1-lightgray
cbID-025;raID-02;24;7,513073805;31,32368406;2-darkgray
cbID-025;raID-02;46;3,531935458;20,10152131;4-orange
cbID-025;raID-02;68;3,48899197;24,85346421;5-orangered
cbID-025;raID-02;89;0,084144665;0,068433177;6-red
cbID-026;raID-02;1;0,079931115;0,002949585;1-lightgray
cbID-026;raID-02;8;2,107499408;3,615635933;1-lightgray
cbID-026;raID-02;17;7,231656611;31,92610501;2-darkgray
cbID-026;raID-02;22;8,696009299;42,19640141;2-darkgray
cbID-026;raID-02;31;8,005323752;37,21426794;3-darkorange
cbID-026;raID-02;39;5,265308874;19,09494612;3-darkorange
cbID-026;raID-02;45;5,749203345;24,68822767;4-orange
cbID-026;raID-02;53;4,836724688;20,63458024;4-orange
cbID-026;raID-02;60;4,701496482;20,9206157;4-orange
cbID-026;raID-02;67;4,302635516;23,88805794;5-orangered
cbID-026;raID-02;75;3,768153366;19,4048468;5-orangered
cbID-026;raID-02;83;1,358724991;1,896532554;6-red
cbID-026;raID-02;91;0,163105448;0,619828536;6-red
cbID-027;raID-02;1;0,099225998;0,013144196;1-lightgray
cbID-027;raID-02;8;2,562377044;4,917523622;1-lightgray
cbID-027;raID-02;17;7,151278741;31,01644398;2-darkgray
cbID-027;raID-02;24;9,392828798;47,02466829;2-darkgray
cbID-027;raID-02;33;6,644391698;26,51691505;3-darkorange
cbID-027;raID-02;40;4,310750481;14,84356265;3-darkorange
cbID-027;raID-02;50;3,626195342;21,23539423;4-orange
cbID-027;raID-02;58;2,57440444;9,948070347;4-orange
cbID-027;raID-02;66;2,577670702;15,64367921;5-orangered
cbID-027;raID-02;74;3,004413884;20,99215118;5-orangered
cbID-027;raID-02;82;0,468874638;0,340080461;6-red
cbID-027;raID-02;89;0,099225998;0,545150626;6-red
cbID-028;raID-02;1;0,110325708;0,004776752;1-lightgray
cbID-028;raID-02;9;3,058268464;6,787108617;1-lightgray
cbID-028;raID-02;14;6,38113202;24,33398147;2-darkgray
cbID-028;raID-02;23;10,14929357;54,53150734;2-darkgray
cbID-028;raID-02;29;9,12389431;44,60655427;2-darkgray
cbID-028;raID-02;35;6,951993678;30,98541879;3-darkorange
cbID-028;raID-02;41;3,615229643;13,05646494;3-darkorange
cbID-028;raID-02;49;2,650743146;11,25704946;4-orange
cbID-028;raID-02;57;1,619081018;8,390597552;4-orange
cbID-028;raID-02;62;2,166897739;24,89497049;5-orangered
cbID-028;raID-02;66;2,828828918;15,83142414;5-orangered
cbID-028;raID-02;77;2,036792638;3,60607948;6-red
cbID-028;raID-02;84;0,412997348;0,345717014;6-red
cbID-028;raID-02;88;0,094460628;0,058598733;6-red
cbID-029;raID-02;1;0,077359375;0,265581822;1-lightgray
cbID-029;raID-02;16;7,485069793;32,36427551;2-darkgray
cbID-029;raID-02;30;8,120295149;36,33811538;3-darkorange
cbID-029;raID-02;46;2,931349766;9,613974214;4-orange
cbID-029;raID-02;59;3,433154054;17,74512708;4-orange
cbID-029;raID-02;75;2,945149071;14,61869141;5-orangered
cbID-029;raID-02;89;9,82972E-05;0,947316249;6-red
cbID-030;raID-02;1;0,100971559;0,145657378;1-lightgray
cbID-030;raID-02;4;0,79575314;0,668810409;1-lightgray
cbID-030;raID-02;9;3,53139764;8,517042711;1-lightgray
cbID-030;raID-02;15;6,8743363;26,3071995;1-lightgray
cbID-030;raID-02;19;8,235052778;41,8037003;2-darkgray
cbID-030;raID-02;24;10,48555888;54,87657019;2-darkgray
cbID-030;raID-02;28;9,536019201;49,67968864;2-darkgray
cbID-030;raID-02;35;5,503657196;20,26417122;3-darkorange
cbID-030;raID-02;39;4,541481732;14,6763383;3-darkorange
cbID-030;raID-02;42;4,750511004;15,77388801;3-darkorange
cbID-030;raID-02;49;3,027631428;15,74233809;4-orange
cbID-030;raID-02;53;2,991663236;8,27284283;4-orange
cbID-030;raID-02;58;2,790647754;8,387393919;4-orange
cbID-030;raID-02;63;3,598360606;9,882448961;5-orangered
cbID-030;raID-02;66;4,18968846;17,95134257;5-orangered
cbID-030;raID-02;71;4,706796169;27,36968757;5-orangered
cbID-030;raID-02;76;2,784838714;13,95884876;5-orangered
cbID-030;raID-02;81;1,256287638;2,165068913;6-red
cbID-030;raID-02;86;0,009732253;0,194144512;6-red
cbID-030;raID-02;91;0,100971559;0,458802724;6-red
cbID-031;raID-02;1;0,096850115;0,008224927;1-lightgray
cbID-031;raID-02;10;3,323161801;7,649035207;1-lightgray
cbID-031;raID-02;19;7,42316939;33,59856376;2-darkgray
cbID-031;raID-02;27;8,607328572;42,04241211;2-darkgray
cbID-031;raID-02;38;5,960669339;23,19533288;3-darkorange
cbID-031;raID-02;46;4,412088471;14,41106581;3-darkorange
cbID-031;raID-02;55;4,038504625;15,82408531;4-orange
cbID-031;raID-02;61;2,43405274;16,36581305;5-orangered
cbID-031;raID-02;72;3,106893923;19,41291352;5-orangered
cbID-031;raID-02;82;1,594017664;2,183831348;6-red
cbID-031;raID-02;91;0,078624559;0,002848065;6-red
cbID-032;raID-03;1;0,094337189;0,028699641;1-lightgray
cbID-032;raID-03;17;5,73980293;22,38593815;2-darkgray
cbID-032;raID-03;36;4,221126229;15,22147487;3-darkorange
cbID-032;raID-03;53;1,614590081;8,642174004;4-orange
cbID-032;raID-03;72;1,559981088;8,133456233;5-orangered
cbID-032;raID-03;91;0,094337189;0,616056816;6-red
cbID-033;raID-03;1;0,171659026;0,033253054;1-lightgray
cbID-033;raID-03;7;1,941895876;3,206634864;1-lightgray
cbID-033;raID-03;15;5,436105066;17,87021433;1-lightgray
cbID-033;raID-03;22;8,35280455;40,87066649;2-darkgray
cbID-033;raID-03;29;9,594552289;47,00750533;3-darkorange
cbID-033;raID-03;35;5,960331765;22,48329968;3-darkorange
cbID-033;raID-03;42;3,102318426;8,457360432;3-darkorange
cbID-033;raID-03;50;2,556707259;14,18798977;4-orange
cbID-033;raID-03;57;2,758357313;11,15619002;4-orange
cbID-033;raID-03;62;3,959315859;18,93144915;4-orange
cbID-033;raID-03;70;3,437190042;9,311012519;5-orangered
cbID-033;raID-03;75;2,683063498;14,85068638;5-orangered
cbID-033;raID-03;84;0,716301298;0,851829837;6-red
cbID-033;raID-03;89;0,076130978;0,653231319;6-red
cbID-034;raID-03;1;0,050912292;0,203977863;1-lightgray
cbID-034;raID-03;7;2,280064733;4,08279687;1-lightgray
cbID-034;raID-03;14;6,156643312;25,85422456;2-darkgray
cbID-034;raID-03;20;8,551292351;41,66878501;2-darkgray
cbID-034;raID-03;27;9,700474636;-99;2-darkgray
cbID-034;raID-03;33;8,601223947;41,10307865;3-darkorange
cbID-034;raID-03;40;6,061380062;25,90295632;3-darkorange
cbID-034;raID-03;44;4,763916866;13,96930084;3-darkorange
cbID-034;raID-03;50;5,351137158;24,03963856;4-orange
cbID-034;raID-03;58;5,890503883;24,88153178;4-orange
cbID-034;raID-03;65;5,212361725;27,17668851;5-orangered
cbID-034;raID-03;71;5,393176484;30,71230678;5-orangered
cbID-034;raID-03;78;2,58865078;5,542617314;6-red
cbID-034;raID-03;82;1,617731176;3,276097769;6-red
cbID-034;raID-03;91;0,131249032;0,324649647;6-red
cbID-035;raID-03;1;0,002356317;0,009602993;1-lightgray
cbID-035;raID-03;8;2,346170745;4,355598588;1-lightgray
cbID-035;raID-03;14;4,856805745;17,88605459;2-darkgray
cbID-035;raID-03;19;7,607001169;35,12361007;2-darkgray
cbID-035;raID-03;24;8,540036477;42,84964419;2-darkgray
cbID-035;raID-03;34;6,05560268;22,66229933;3-darkorange
cbID-035;raID-03;41;3,898651927;14,36699505;3-darkorange
cbID-035;raID-03;46;3,157591624;9,508217847;3-darkorange
cbID-035;raID-03;51;3,518771438;18,35341985;4-orange
cbID-035;raID-03;57;3,173681336;10,98820269;4-orange
cbID-035;raID-03;63;3,708072406;17,2114327;5-orangered
cbID-035;raID-03;69;3,891925782;21,98789222;5-orangered
cbID-035;raID-03;78;1,966405005;16,29057438;5-orangered
cbID-035;raID-03;83;0,644422533;0,69724269;6-red
cbID-035;raID-03;90;0,046443445;0,73540805;6-red
cbID-036;raID-03;1;0,086034813;0,001326769;1-lightgray
cbID-036;raID-03;15;6,509370824;23,96699853;1-lightgray
cbID-036;raID-03;31;8,774634205;47,16923716;2-darkgray
cbID-036;raID-03;45;4,404782352;21,96757903;4-orange
cbID-036;raID-03;60;3,168604573;15,85250234;4-orange
cbID-036;raID-03;74;2,941605974;18,10879358;5-orangered
cbID-036;raID-03;90;0,093729536;0,796912458;6-red
cbID-037;raID-03;1;0,110494756;0,112495367;1-lightgray
cbID-037;raID-03;8;2,31135995;4,050689697;1-lightgray
cbID-037;raID-03;14;4,83269952;14,6715629;1-lightgray
cbID-037;raID-03;21;7,370788602;36,06071747;2-darkgray
cbID-037;raID-03;27;8,452003018;42,64222077;2-darkgray
cbID-037;raID-03;33;8,732149641;42,00326488;3-darkorange
cbID-037;raID-03;43;7,04370492;27,80972472;3-darkorange
cbID-037;raID-03;49;5,31084428;25,91304645;4-orange
cbID-037;raID-03;56;3,886789166;21,49019155;4-orange
cbID-037;raID-03;61;3,884890307;19,52896488;5-orangered
cbID-037;raID-03;69;4,185047328;26,20794558;5-orangered
cbID-037;raID-03;76;2,794230575;16,28408853;5-orangered
cbID-037;raID-03;85;0,82586257;0,563324472;6-red
cbID-037;raID-03;89;0,110494756;0,176416325;6-red
cbID-038;raID-03;1;0,097837757;0,02305639;1-lightgray
cbID-038;raID-03;8;3,012001343;6,590341907;1-lightgray
cbID-038;raID-03;16;7,245941808;29,80356505;2-darkgray
cbID-038;raID-03;22;8,72258619;40,830039;2-darkgray
cbID-038;raID-03;26;9,137555626;47,94293495;2-darkgray
cbID-038;raID-03;34;8,1946261;36,32324055;3-darkorange
cbID-038;raID-03;42;5,448693061;20,87136779;3-darkorange
cbID-038;raID-03;50;4,943062841;21,74378703;4-orange
cbID-038;raID-03;57;4,421675102;15,5350812;4-orange
cbID-038;raID-03;59;4,466280736;19,61364406;4-orange
cbID-038;raID-03;70;4,123910918;21,69886252;5-orangered
cbID-038;raID-03;76;2,605391319;5,128742754;6-red
cbID-038;raID-03;83;0,981834707;-99;6-red
cbID-038;raID-03;90;-99;0,934543438;6-red
cbID-039;raID-03;1;0,197811407;0,105017509;1-lightgray
cbID-039;raID-03;9;3,662167779;9,25755969;1-lightgray
cbID-039;raID-03;18;7,499760735;33,1089925;2-darkgray
cbID-039;raID-03;26;8,479793279;41,3105942;2-darkgray
cbID-039;raID-03;34;5,649940551;20,75467159;3-darkorange
cbID-039;raID-03;40;4,008357519;12,70195101;3-darkorange
cbID-039;raID-03;51;1,905124393;7,609954844;4-orange
cbID-039;raID-03;57;2,767558826;15,13728192;4-orange
cbID-039;raID-03;65;3,512668375;19,93436546;5-orangered
cbID-039;raID-03;73;3,043311832;11,79335208;5-orangered
cbID-039;raID-03;82;1,158298486;0,732771077;6-red
cbID-039;raID-03;89;0,097497079;0,082769812;6-red
cbID-040;raID-03;1;0,035734939;0,041715517;1-lightgray
cbID-040;raID-03;5;1,325343918;1,765722738;1-lightgray
